Area,International Phone Number,Latitude,Longitude
Ciutat Vella,+34 932 18 49 83,41.3883817,2.1648101
Ciutat Vella,+34 932 15 27 18,41.3894889,2.1653528
Ciutat Vella,+34 931 97 16 47,41.385953,2.1689329
Ciutat Vella,+34 931 70 00 42,41.3890321,2.1704376
Ciutat Vella,+34 931 24 82 40,41.3909387,2.1732132
Ciutat Vella,+34 931 05 57 02,41.3894355,2.1631374
Ciutat Vella,+34 930 11 72 65,41.389185,2.1634823
Ciutat Vella,+34 911 50 50 00,41.392618,2.172981
Ciutat Vella,+34 902 32 03 20,41.3840183,2.1865737
Ciutat Vella,+34 902 22 09 22,41.3895921,2.1675969
Ciutat Vella,+34 900 229 922,41.3878459,2.1643337
Ciutat Vella,+34 687 19 23 53,41.3892486,2.1653055
Ciutat Vella,+34 685 60 80 89,41.3902431,2.1706795
Ciutat Vella,+34 661 79 97 11,41.3919927,2.1740072
Ciutat Vella,+34 659 12 87 73,41.3914263,2.1743265
Ciutat Vella,+34 651 86 43 16,41.3884274,2.1641217
Ciutat Vella,+34 649 85 78 81,41.3901416,2.169835
Ciutat Vella,+34 620 83 32 28,41.3879531,2.1648821
Ciutat Vella,+34 616 38 48 32,41.3901416,2.169835
Ciutat Vella,+34 613 01 71 94,41.3892412,2.1636167
Ciutat Vella,+34 610 01 77 86,41.3932689,2.1751519
Eixample,+44 1422 400776,41.39429962,2.1663127
Eixample,+34 973 18 44 35,41.3942858,2.156559
Eixample,+34 958 80 83 00,41.3956548,2.1757841
Eixample,+34 938 87 74 05,41.391693,2.166097
Eixample,+34 938 87 25 25,41.3958931,2.158151
Eixample,+34 938 86 88 01,41.4033947,2.1660461
Eixample,+34 938 82 30 34,41.3901927,2.1612794
Eixample,+34 938 80 20 88,41.399498,2.1547132
Eixample,+34 938 79 54 59,41.3974803,2.1591838
Eixample,+34 938 77 22 81,41.3992741,2.1545825
Eixample,+34 938 74 77 54,41.3993224,2.1559804
Eixample,+34 938 58 02 95,41.3944328,2.1592533
Eixample,+34 938 57 54 33,41.3980734,2.1548505
Eixample,+34 938 55 53 70,41.4049025,2.1692198
Eixample,+34 938 53 93 20,41.3924215,2.1565281
Eixample,+34 938 53 55 40,41.394171,2.164926
Eixample,+34 938 43 03 01,41.3977061,2.15725
Eixample,+34 938 32 61 95,41.3949703,2.1637126
Eixample,+34 938 32 34 12,41.3927963,2.1614867
Eixample,+34 938 32 27 89,41.3990459,2.1628711
Eixample,+34 938 26 94 88,41.3997112,2.167912
Eixample,+34 938 26 91 20,41.3912167,2.1566374
Eixample,+34 938 09 18 66,41.393842,2.1665739
Eixample,+34 938 08 95 15,41.4004508,2.1573688
Eixample,+34 938 07 14 46,41.3994751,2.1645703
Eixample,+34 938 00 26 30,41.3944403,2.1626975
Eixample,+34 937 97 74 58,41.3946433,2.1717544
Eixample,+34 937 92 65 99,41.3981233,2.1703659
Eixample,+34 937 88 70 17,41.396279,2.1648699
Eixample,+34 937 84 97 97,41.3944762,2.1609578
Eixample,+34 937 82 46 64,41.397711,2.16561
Eixample,+34 937 82 29 12,41.3980215,2.1682958
Eixample,+34 937 78 34 42,41.3989001,2.1536631
Eixample,+34 937 68 92 84,41.3968697,2.1667734
Eixample,+34 937 68 77 84,41.4028856,2.1625613
Eixample,+34 937 68 23 73,41.3963013,2.1544357
Eixample,+34 937 63 49 99,41.3968298,2.1705448
Eixample,+34 937 61 76 46,41.3949151,2.1518978
Eixample,+34 937 60 58 65,41.4006103,2.1590153
Eixample,+34 937 60 56 85,41.3987832,2.1603601
Eixample,+34 937 54 54 40,41.3971829,2.1604022
Eixample,+34 937 42 17 55,41.396849,2.155297
Eixample,+34 937 37 90 20,41.3927866,2.1538484
Eixample,+34 937 37 82 02,41.3903723,2.1639584
Eixample,+34 937 37 79 77,41.3945776,2.1564782
Eixample,+34 937 37 21 35,41.4019359,2.1726963
Eixample,+34 937 37 00 18,41.3977003,2.1678468
Eixample,+34 937 37 00 11,41.3960905,2.1704962
Eixample,+34 937 37 00 10,41.3946363,2.1625274
Eixample,+34 937 30 57 47,41.3916185,2.1665609
Eixample,+34 937 27 48 19,41.3994277,2.1550337
Eixample,+34 937 07 31 83,41.393083,2.1610791
Eixample,+34 937 07 02 49,41.3904332,2.1560382
Eixample,+34 937 00 01 48,41.3953781,2.161437
Eixample,+34 936 92 68 29,41.3963374,2.1627723
Eixample,+34 936 89 86 63,41.399769,2.153629
Eixample,+34 936 89 47 84,41.3926569,2.1616211
Eixample,+34 936 84 60 40,41.4052818,2.1644803
Eixample,+34 936 84 53 16,41.4018444,2.1725537
Eixample,+34 936 84 42 46,41.398387,2.161615
Eixample,+34 936 83 78 69,41.3973141,2.1605619
Eixample,+34 936 81 45 01,41.4013866,2.1701507
Eixample,+34 936 78 69 60,41.398508,2.1616765
Eixample,+34 936 76 34 85,41.3929137,2.1606008
Eixample,+34 936 76 27 05,41.3942001,2.160639
Eixample,+34 936 76 04 80,41.3961757,2.1742836
Eixample,+34 936 73 81 59,41.39923,2.171273
Eixample,+34 936 73 60 84,41.3973224,2.1592606
Eixample,+34 936 67 88 06,41.4053571,2.1712474
Eixample,+34 936 67 51 54,41.3965789,2.1761918
Eixample,+34 936 67 43 91,41.3883408,2.1600667
Eixample,+34 936 67 30 71,41.399208,2.1762884
Eixample,+34 936 67 27 15,41.3982221,2.1547706
Eixample,+34 936 67 13 12,41.401736,2.165862
Eixample,+34 936 67 06 94,41.3980041,2.1671048
Eixample,+34 936 63 71 72,41.397897,2.1669067
Eixample,+34 936 55 30 40,41.3990033,2.1725565
Eixample,+34 936 42 46 69,41.3966326,2.1658045
Eixample,+34 936 39 69 43,41.3938444,2.1559785
Eixample,+34 936 39 53 46,41.3951876,2.1616775
Eixample,+34 936 39 50 72,41.3976431,2.1538867
Eixample,+34 936 34 88 21,41.3909563,2.16706
Eixample,+34 936 34 40 60,41.3992013,2.1716968
Eixample,+34 936 33 87 27,41.3942419,2.1647402
Eixample,+34 936 33 80 80,41.397681,2.156638
Eixample,+34 936 33 76 27,41.3943882,2.1600292
Eixample,+34 936 31 78 14,41.3963738,2.1730376
Eixample,+34 936 30 38 76,41.393308,2.1601169
Eixample,+34 936 28 28 92,41.3963054,2.1716207
Eixample,+34 936 27 38 90,41.4003604,2.1693359
Eixample,+34 936 24 36 32,41.3999446,2.1574905
Eixample,+34 936 24 36 29,41.4011413,2.1724852
Eixample,+34 936 24 31 27,41.3953189,2.1536348
Eixample,+34 936 24 27 96,41.3976988,2.1549628
Eixample,+34 936 19 00 20,41.3925,2.1638889
Eixample,+34 936 11 39 38,41.3901965,2.1601595
Eixample,+34 936 11 18 13,41.3985879,2.161068
Eixample,+34 936 09 09 61,41.3919127,2.1618415
Eixample,+34 936 06 70 13,41.3957355,2.1546158
Eixample,+34 936 04 79 03,41.3988451,2.1601744
Eixample,+34 936 01 97 50,41.3997542,2.1647763
Eixample,+34 936 01 70 83,41.4033858,2.1623501
Eixample,+34 936 01 04 30,41.3939861,2.1546362
Eixample,+34 935 95 51 25,41.3947912,2.1663848
Eixample,+34 935 95 14 82,41.3925223,2.1597019
Eixample,+34 935 95 03 30,41.3968379,2.157713
Eixample,+34 935 82 72 42,41.4018673,2.1598938
Eixample,+34 935 72 17 61,41.3944714,2.158511
Eixample,+34 935 66 31 16,41.3966336,2.1609598
Eixample,+34 935 61 03 32,41.3990366,2.1670135
Eixample,+34 935 61 03 27,41.3975968,2.1768559
Eixample,+34 935 57 56 27,41.39769378,2.16200776
Eixample,+34 935 54 74 40,41.3894772,2.159818
Eixample,+34 935 54 42 79,41.3902271,2.1625924
Eixample,+34 935 53 98 29,41.397875,2.165862
Eixample,+34 935 52 79 60,41.3947091,2.1647469
Eixample,+34 935 52 78 00,41.3938229,2.1584502
Eixample,+34 935 52 05 50,41.3959741,2.1611604
Eixample,+34 935 51 20 00,41.39554,2.1737182
Eixample,+34 935 48 60 22,41.3950017,2.154713
Eixample,+34 935 48 46 39,41.3983097,2.1651143
Eixample,+34 935 46 98 98,41.3937219,2.169428
Eixample,+34 935 42 18 00,41.3936817,2.1573127
Eixample,+34 935 41 31 49,41.396633,2.155249
Eixample,+34 935 39 80 87,41.4010434,2.1621198
Eixample,+34 935 39 06 16,41.4031148,2.1716762
Eixample,+34 935 32 33 31,41.3972632,2.1677263
Eixample,+34 935 32 32 56,41.3941622,2.1567277
Eixample,+34 935 32 31 43,41.3936481,2.1702434
Eixample,+34 935 32 26 89,41.4018151,2.1705914
Eixample,+34 935 32 22 11,41.4005423,2.1693849
Eixample,+34 935 32 20 89,41.3998081,2.1685489
Eixample,+34 935 32 19 38,41.3971456,2.1519693
Eixample,+34 935 32 16 00,41.3969336,2.1636536
Eixample,+34 935 32 05 06,41.4019045,2.1745863
Eixample,+34 935 31 80 00,41.39957,2.1689247
Eixample,+34 935 31 63 71,41.3926088,2.1679067
Eixample,+34 935 31 26 55,41.4026154,2.167953
Eixample,+34 935 30 86 85,41.3940342,2.1701741
Eixample,+34 935 30 58 03,41.3929975,2.1553367
Eixample,+34 935 30 56 23,41.396319,2.1640125
Eixample,+34 935 28 81 52,41.3925374,2.1566912
Eixample,+34 935 28 76 76,41.3935547,2.1707673
Eixample,+34 935 28 59 35,41.393808,2.1658982
Eixample,+34 935 28 58 54,41.390689,2.155921
Eixample,+34 935 28 55 50,41.3929133,2.1606577
Eixample,+34 935 25 06 95,41.4004677,2.1715564
Eixample,+34 935 21 57 31,41.3993989,2.1562592
Eixample,+34 935 21 19 21,41.402263,2.17399
Eixample,+34 935 21 02 89,41.3932802,2.1610068
Eixample,+34 935 20 93 50,41.3955671,2.1650662
Eixample,+34 935 20 90 00,41.39829503,2.164467833
Eixample,+34 935 19 32 19,41.3990667,2.1706377
Eixample,+34 935 18 53 85,41.3920533,2.1657372
Eixample,+34 935 18 18 03,41.4007796,2.1591164
Eixample,+34 935 18 12 63,41.39320775,2.1585195
Eixample,+34 935 16 83 78,41.4025889,2.159935
Eixample,+34 935 16 69 39,41.3928298,2.1649463
Eixample,+34 935 16 39 02,41.4041011,2.1670046
Eixample,+34 935 14 34 50,41.3998564,2.1597945
Eixample,+34 935 14 01 14,41.4024912,2.167528
Eixample,+34 935 13 84 23,41.3964058,2.1620831
Eixample,+34 935 13 20 60,41.4032647,2.1746095
Eixample,+34 935 13 04 56,41.3971485,2.1570539
Eixample,+34 935 12 47 49,41.398213,2.167179
Eixample,+34 935 12 35 11,41.4022524,2.1679349
Eixample,+34 935 12 28 83,41.401447,2.168988
Eixample,+34 935 11 72 21,41.3993683,2.1569094
Eixample,+34 935 11 11 27,41.401668,2.1725989
Eixample,+34 935 10 80 34,41.3927994,2.1583335
Eixample,+34 935 07 33 25,41.4018731,2.171407
Eixample,+34 935 05 69 60,41.3941102,2.1608984
Eixample,+34 935 05 26 00,41.3972036,2.1757665
Eixample,+34 935 04 97 23,41.4037706,2.1687131
Eixample,+34 935 04 57 04,41.3957571,2.1715815
Eixample,+34 935 02 49 52,41.3937771,2.1689329
Eixample,+34 935 00 85 64,41.4006129,2.1593185
Eixample,+34 935 00 63 67,41.4014817,2.1700269
Eixample,+34 935 00 58 90,41.3928884,2.1606016
Eixample,+34 934 96 74 21,41.3927154,2.1681844
Eixample,+34 934 96 19 28,41.3938889,2.1652778
Eixample,+34 934 96 18 69,41.3941646,2.1587679
Eixample,+34 934 96 13 36,41.3943515,2.1612773
Eixample,+34 934 96 08 69,41.393577,2.1680565
Eixample,+34 934 96 05 74,41.393793,2.1661473
Eixample,+34 934 96 04 82,41.390686,2.1647489
Eixample,+34 934 94 74 50,41.3926214,2.1650933
Eixample,+34 934 94 00 01,41.401469,2.1710313
Eixample,+34 934 92 96 70,41.39184,2.1568284
Eixample,+34 934 91 06 51,41.3987875,2.1553414
Eixample,+34 934 88 35 05,41.3953101,2.1642752
Eixample,+34 934 88 34 87,41.3922525,2.170209
Eixample,+34 934 88 33 69,41.391693,2.166097
Eixample,+34 934 88 33 42,41.3969874,2.1582519
Eixample,+34 934 88 33 12,41.3952603,2.16936445
Eixample,+34 934 88 32 81,41.392516,2.1638473
Eixample,+34 934 88 29 23,41.3935729,2.1638406
Eixample,+34 934 88 25 09,41.3940533,2.1598979
Eixample,+34 934 88 19 72,41.3906313,2.1652782
Eixample,+34 934 88 17 29,41.3921468,2.1656368
Eixample,+34 934 88 16 42,41.3906548,2.1654207
Eixample,+34 934 88 15 93,41.3936292,2.1688944
Eixample,+34 934 88 14 60,41.390358,2.160488
Eixample,+34 934 88 14 44,41.3951729,2.1604622
Eixample,+34 934 88 13 60,41.3926713,2.1594172
Eixample,+34 934 88 13 09,41.3929971,2.1646338
Eixample,+34 934 88 11 66,41.3913269,2.1680283
Eixample,+34 934 88 11 25,41.3924691,2.1610765
Eixample,+34 934 88 11 00,41.392011,2.161808
Eixample,+34 934 88 10 80,41.3952106,2.1692026
Eixample,+34 934 88 10 59,41.3947683,2.1624002
Eixample,+34 934 88 09 77,41.3909531,2.1675608
Eixample,+34 934 88 09 14,41.3942235,2.1606868
Eixample,+34 934 88 08 61,41.3983879,2.1735921
Eixample,+34 934 88 05 40,41.3941213,2.1617881
Eixample,+34 934 88 02 80,41.3937099,2.1710929
Eixample,+34 934 88 01 88,41.39359543,2.1647473
Eixample,+34 934 88 01 76,41.3951814,2.1617077
Eixample,+34 934 88 00 61,41.3962323,2.1632628
Eixample,+34 934 87 99 76,41.3971495,2.1632712
Eixample,+34 934 87 98 98,41.3910391,2.1676872
Eixample,+34 934 87 97 62,41.3933633,2.1659402
Eixample,+34 934 87 96 48,41.3939869,2.1712937
Eixample,+34 934 87 95 29,41.3941126,2.1717143
Eixample,+34 934 87 95 04,41.3961354,2.1695638
Eixample,+34 934 87 94 62,41.3938098,2.1594304
Eixample,+34 934 87 88 92,41.3923875,2.1679349
Eixample,+34 934 87 88 76,41.3918754,2.1618703
Eixample,+34 934 87 87 49,41.3939816,2.1646945
Eixample,+34 934 87 86 40,41.3939863,2.1619471
Eixample,+34 934 87 83 60,41.3942207,2.1594887
Eixample,+34 934 87 80 20,41.3931837,2.1682864
Eixample,+34 934 87 77 26,41.3918084,2.1686296
Eixample,+34 934 87 77 04,41.39053663,2.1633336
Eixample,+34 934 87 77 00,41.3943583,2.1702064
Eixample,+34 934 87 75 04,41.3946723,2.1634602
Eixample,+34 934 87 74 66,41.3939646,2.1633245
Eixample,+34 934 87 69 60,41.3925469,2.1690318
Eixample,+34 934 87 68 86,41.3910416,2.1614552
Eixample,+34 934 87 67 80,41.392586,2.163877
Eixample,+34 934 87 67 76,41.3963665,2.1633096
Eixample,+34 934 87 67 17,41.3973639,2.1602655
Eixample,+34 934 87 62 92,41.3918982,2.157322
Eixample,+34 934 87 62 62,41.39443897,2.165263567
Eixample,+34 934 87 62 57,41.3903883,2.1613875
Eixample,+34 934 87 61 45,41.394952,2.162075
Eixample,+34 934 87 59 89,41.3922275,2.1622013
Eixample,+34 934 87 58 63,41.3908995,2.1629467
Eixample,+34 934 87 56 01,41.3932758,2.1609821
Eixample,+34 934 87 55 67,41.3925815,2.1659388
Eixample,+34 934 87 55 44,41.4021718,2.169298
Eixample,+34 934 87 54 86,41.3920517,2.1618631
Eixample,+34 934 87 52 21,41.3940829,2.160429
Eixample,+34 934 87 48 42,41.3905202,2.1639765
Eixample,+34 934 87 46 69,41.3929434,2.1633288
Eixample,+34 934 87 44 40,41.3970638,2.1678389
Eixample,+34 934 87 43 90,41.3947777,2.1708841
Eixample,+34 934 87 43 78,41.3945046,2.1682374
Eixample,+34 934 87 39 83,41.3918852,2.1602616
Eixample,+34 934 87 38 87,41.3906148,2.1631371
Eixample,+34 934 87 38 65,41.394544,2.169433
Eixample,+34 934 87 37 52,41.3916728,2.1616564
Eixample,+34 934 87 35 00,41.395359,2.1619529
Eixample,+34 934 87 33 33,41.395,2.1547222
Eixample,+34 934 87 32 93,41.3924794,2.1612609
Eixample,+34 934 87 32 37,41.3930909,2.1578406
Eixample,+34 934 87 32 25,41.3906825,2.1654094
Eixample,+34 934 87 31 53,41.3957336,2.1599725
Eixample,+34 934 87 30 14,41.3946563,2.1593077
Eixample,+34 934 87 29 13,41.3932758,2.1609821
Eixample,+34 934 87 27 48,41.3946694,2.1641157
Eixample,+34 934 87 27 00,41.3912528,2.1627339
Eixample,+34 934 87 25 92,41.394697,2.160409
Eixample,+34 934 87 22 79,41.3927394,2.1648959
Eixample,+34 934 87 21 65,41.3910027,2.1638424
Eixample,+34 934 87 21 22,41.4015472,2.1646756
Eixample,+34 934 87 20 70,41.3940775,2.1612563
Eixample,+34 934 87 19 72,41.393898,2.1607244
Eixample,+34 934 87 19 53,41.3929901,2.16924
Eixample,+34 934 87 19 24,41.3940056,2.165871
Eixample,+34 934 87 18 28,41.3944301,2.1591807
Eixample,+34 934 87 18 21,41.3961961,2.1646202
Eixample,+34 934 87 17 55,41.3963162,2.1644951
Eixample,+34 934 87 17 17,41.3936104,2.1581516
Eixample,+34 934 87 16 46,41.3921747,2.1657277
Eixample,+34 934 87 12 70,41.3961317,2.1650743
Eixample,+34 934 87 12 65,41.3907001,2.1650014
Eixample,+34 934 87 11 26,41.3934507,2.1654782
Eixample,+34 934 87 08 95,41.3950214,2.1620928
Eixample,+34 934 87 06 21,41.394726,2.160481
Eixample,+34 934 87 03 74,41.3943966,2.1608503
Eixample,+34 934 87 03 43,41.3954602,2.1655917
Eixample,+34 934 87 03 15,41.3915474,2.1637697
Eixample,+34 934 87 03 01,41.3924537,2.1672277
Eixample,+34 934 87 00 77,41.3945477,2.1643459
Eixample,+34 934 87 00 15,41.3933517,2.1678018
Eixample,+34 934 86 08 00,41.3972315,2.1609856
Eixample,+34 934 86 05 57,41.393012,2.1594041
Eixample,+34 934 84 99 00,41.3959331,2.1597501
Eixample,+34 934 84 98 16,41.3958945,2.1597496
Eixample,+34 934 84 95 00,41.3975435,2.1576598
Eixample,+34 934 84 85 27,41.3918389,2.155718
Eixample,+34 934 84 08 28,41.3932048,2.166761
Eixample,+34 934 81 71 32,41.3905588,2.1653247
Eixample,+34 934 81 58 58,41.3988341,2.169732
Eixample,+34 934 81 51 09,41.3952544,2.1556887
Eixample,+34 934 76 98 94,41.3988897,2.166724
Eixample,+34 934 76 97 00,41.3979119,2.1681498
Eixample,+34 934 76 57 58,41.4025548,2.1658506
Eixample,+34 934 76 57 21,41.3964806,2.1656511
Eixample,+34 934 76 54 67,41.3992469,2.1606862
Eixample,+34 934 76 54 45,41.40586205,2.16583555
Eixample,+34 934 76 54 11,41.4006799,2.165918
Eixample,+34 934 76 50 63,41.3970676,2.1689333
Eixample,+34 934 76 41 26,41.4063788,2.1680993
Eixample,+34 934 76 39 04,41.4039429,2.1656914
Eixample,+34 934 76 38 24,41.4014747,2.167912
Eixample,+34 934 76 37 28,41.4000767,2.1691146
Eixample,+34 934 76 35 26,41.4022293,2.1718695
Eixample,+34 934 76 34 56,41.393929,2.165757
Eixample,+34 934 76 33 71,41.4039487,2.1667908
Eixample,+34 934 76 32 37,41.3986102,2.1629079
Eixample,+34 934 76 26 62,41.3954114,2.1662651
Eixample,+34 934 76 23 10,41.3998085,2.1702337
Eixample,+34 934 76 22 22,41.4042402,2.1656377
Eixample,+34 934 76 17 88,41.3988511,2.1643076
Eixample,+34 934 76 17 00,41.404836,2.1673975
Eixample,+34 934 76 13 90,41.4044685,2.1710128
Eixample,+34 934 76 10 05,41.4022713,2.1742362
Eixample,+34 934 76 04 00,41.402227,2.171291
Eixample,+34 934 76 00 99,41.3987071,2.1694122
Eixample,+34 934 71 17 50,41.3922909,2.1655837
Eixample,+34 934 67 87 33,41.3950998,2.1693168
Eixample,+34 934 67 82 68,41.391693,2.166097
Eixample,+34 934 67 74 20,41.3935498,2.1709654
Eixample,+34 934 67 73 80,41.3950779,2.1622823
Eixample,+34 934 67 72 09,41.3907729,2.1655443
Eixample,+34 934 67 71 99,41.3943386,2.1634832
Eixample,+34 934 67 71 97,41.3975566,2.1645642
Eixample,+34 934 67 71 66,41.3932421,2.1614639
Eixample,+34 934 67 70 65,41.3936779,2.1637509
Eixample,+34 934 67 70 40,41.3969276,2.1553927
Eixample,+34 934 67 70 21,41.3964998,2.164191
Eixample,+34 934 67 67 60,41.3926872,2.1636095
Eixample,+34 934 67 65 80,41.394428,2.166892
Eixample,+34 934 67 64 33,41.3954038,2.1639238
Eixample,+34 934 67 64 27,41.3934238,2.1691378
Eixample,+34 934 67 59 16,41.3990173,2.158977
Eixample,+34 934 67 55 28,41.393062,2.1633226
Eixample,+34 934 67 52 79,41.393867,2.171397
Eixample,+34 934 67 51 49,41.3945264,2.1598331
Eixample,+34 934 67 49 51,41.3908052,2.16339
Eixample,+34 934 67 45 42,41.3933555,2.1594445
Eixample,+34 934 67 44 67,41.3995206,2.1630218
Eixample,+34 934 67 44 54,41.3921767,2.1568281
Eixample,+34 934 67 41 86,41.3924998,2.1619471
Eixample,+34 934 67 41 43,41.3929992,2.1688501
Eixample,+34 934 67 38 86,41.3928314,2.1690821
Eixample,+34 934 67 36 43,41.3914375,2.164855
Eixample,+34 934 67 33 11,41.391059,2.1609638
Eixample,+34 934 67 31 93,41.3939151,2.1621152
Eixample,+34 934 67 31 84,41.3953101,2.1642752
Eixample,+34 934 67 30 88,41.3948473,2.1610309
Eixample,+34 934 67 27 01,41.3923084,2.164317
Eixample,+34 934 67 26 68,41.3948723,2.1595881
Eixample,+34 934 67 25 00,41.3954192,2.1660143
Eixample,+34 934 67 24 55,41.3907729,2.1655443
Eixample,+34 934 67 22 56,41.3951163,2.1605914
Eixample,+34 934 67 19 50,41.395734,2.159973
Eixample,+34 934 67 16 70,41.3941879,2.1567487
Eixample,+34 934 67 16 16,41.3948338,2.1636981
Eixample,+34 934 67 08 90,41.3920523,2.1659964
Eixample,+34 934 67 07 07,41.3974803,2.1591838
Eixample,+34 934 67 04 07,41.3923037,2.1635693
Eixample,+34 934 61 90 70,41.3981822,2.161956
Eixample,+34 934 61 82 22,41.402128,2.170301
Eixample,+34 934 61 69 90,41.3932802,2.1610068
Eixample,+34 934 61 59 85,41.3985258,2.1539534
Eixample,+34 934 61 55 06,41.3947813,2.1707674
Eixample,+34 934 61 34 68,41.3980358,2.1571907
Eixample,+34 934 60 75 10,41.3975033,2.1551145
Eixample,+34 934 59 66 50,41.3998798,2.1556485
Eixample,+34 934 59 45 00,41.3992673,2.1714402
Eixample,+34 934 59 44 49,41.3965024,2.1682122
Eixample,+34 934 59 44 30,41.398581,2.1612908
Eixample,+34 934 59 42 42,41.3973639,2.1679974
