Area,category,business_status,formatted_phone_number,international_phone_number,name,opening_hours,place_id,rating,types,url,user_ratings_total,website,permanently_closed,price_level,latitude,longitude
Ciutat Vella,bakery,OPERATIONAL,934 88 09 60,+34 934 88 09 60,Forn la Rambla 31,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0730'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0730'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0800'}}], 'weekday_text': ['Monday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']}",ChIJK8p_z_KipBIRjn3SQG2sK8c,4.4,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",https://maps.google.com/?cid=14351754222785166734,274.0,https://fornlarambla31.business.site/,,2.0,41.3893992,2.1653997
Ciutat Vella,art_gallery,OPERATIONAL,934 88 02 83,+34 934 88 02 83,Mayoral Gallery,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '1530'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '1530'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '1530'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '1530'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '1530'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']}",ChIJj5MmOY2ipBIRhR48XYkaZRM,4.3,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=1397552436645469829,61.0,http://www.galeriamayoral.com/,,,41.3895354,2.1638646
Ciutat Vella,tourist_attraction,OPERATIONAL,934 88 02 83,+34 934 88 02 83,Mayoral Gallery,"{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '1530'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '1530'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '1530'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '1530'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '1530'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '1100'}}], 'weekday_text': ['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 3:30\u2009–\u20097:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']}",ChIJj5MmOY2ipBIRhR48XYkaZRM,4.3,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=1397552436645469829,61.0,http://www.galeriamayoral.com/,,,41.3895354,2.1638646
Ciutat Vella,art_gallery,OPERATIONAL,934 87 93 15,+34 934 87 93 15,"Galeria F.Cervera - Arqueologia Clàssica, S.L. - Ancient Art","{'open_now': True, 'periods': [{'close': {'day': 1, 'time': '1400'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1700'}}, {'close': {'day': 2, 'time': '1400'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1700'}}, {'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1700'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1700'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1700'}}], 'weekday_text': ['Monday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']}",ChIJj5MmOY2ipBIRzszJQdNuwoI,3.3,"['art_gallery', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=9422215224033397966,36.0,https://www.galeriafcervera.com/,,,41.3895112,2.1638183
Ciutat Vella,bar,OPERATIONAL,934 87 83 42,+34 934 87 83 42,Dmens,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '0500'}, 'open': {'day': 0, 'time': '0030'}}, {'close': {'day': 1, 'time': '0500'}, 'open': {'day': 1, 'time': '0030'}}, {'close': {'day': 2, 'time': '0500'}, 'open': {'day': 2, 'time': '0030'}}, {'close': {'day': 3, 'time': '0500'}, 'open': {'day': 3, 'time': '0030'}}, {'close': {'day': 4, 'time': '0500'}, 'open': {'day': 4, 'time': '0030'}}, {'close': {'day': 5, 'time': '0600'}, 'open': {'day': 5, 'time': '0030'}}, {'close': {'day': 6, 'time': '0600'}, 'open': {'day': 6, 'time': '0030'}}], 'weekday_text': ['Monday: 12:30\u2009–\u20095:00\u202fAM', 'Tuesday: 12:30\u2009–\u20095:00\u202fAM', 'Wednesday: 12:30\u2009–\u20095:00\u202fAM', 'Thursday: 12:30\u2009–\u20095:00\u202fAM', 'Friday: 12:30\u2009–\u20096:00\u202fAM', 'Saturday: 12:30\u2009–\u20096:00\u202fAM', 'Sunday: 12:30\u2009–\u20095:00\u202fAM']}",ChIJfcV02IyipBIRGtPv3OYvk1c,3.8,"['night_club', 'bar', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=6310440171471885082,1308.0,http://grupoarena.com/,,,41.38847149999999,2.1639944
Ciutat Vella,night_club,OPERATIONAL,934 87 83 42,+34 934 87 83 42,Dmens,"{'open_now': False, 'periods': [{'close': {'day': 0, 'time': '0500'}, 'open': {'day': 0, 'time': '0030'}}, {'close': {'day': 1, 'time': '0500'}, 'open': {'day': 1, 'time': '0030'}}, {'close': {'day': 2, 'time': '0500'}, 'open': {'day': 2, 'time': '0030'}}, {'close': {'day': 3, 'time': '0500'}, 'open': {'day': 3, 'time': '0030'}}, {'close': {'day': 4, 'time': '0500'}, 'open': {'day': 4, 'time': '0030'}}, {'close': {'day': 5, 'time': '0600'}, 'open': {'day': 5, 'time': '0030'}}, {'close': {'day': 6, 'time': '0600'}, 'open': {'day': 6, 'time': '0030'}}], 'weekday_text': ['Monday: 12:30\u2009–\u20095:00\u202fAM', 'Tuesday: 12:30\u2009–\u20095:00\u202fAM', 'Wednesday: 12:30\u2009–\u20095:00\u202fAM', 'Thursday: 12:30\u2009–\u20095:00\u202fAM', 'Friday: 12:30\u2009–\u20096:00\u202fAM', 'Saturday: 12:30\u2009–\u20096:00\u202fAM', 'Sunday: 12:30\u2009–\u20095:00\u202fAM']}",ChIJfcV02IyipBIRGtPv3OYvk1c,3.8,"['night_club', 'bar', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=6310440171471885082,1308.0,http://grupoarena.com/,,,41.38847149999999,2.1639944
Ciutat Vella,night_club,OPERATIONAL,934 87 83 42,+34 934 87 83 42,Aire Chicas,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '1900'}}, {'close': {'day': 5, 'time': '0500'}, 'open': {'day': 4, 'time': '2359'}}, {'close': {'day': 6, 'time': '0600'}, 'open': {'day': 5, 'time': '2359'}}, {'close': {'day': 0, 'time': '0600'}, 'open': {'day': 6, 'time': '2359'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 11:59\u202fPM\u2009–\u20095:00\u202fAM', 'Friday: 11:59\u202fPM\u2009–\u20096:00\u202fAM', 'Saturday: 11:59\u202fPM\u2009–\u20096:00\u202fAM', 'Sunday: 7:00\u202fPM\u2009–\u200912:00\u202fAM']}",ChIJKfdq14yipBIRdtsEadvWFFo,3.7,"['night_club', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=6491049200795835254,550.0,http://www.grupoarena.com/,,,41.3884488,2.1640408
Ciutat Vella,spa,OPERATIONAL,934 87 48 14,+34 934 87 48 14,SAUNA BRUC,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1000'}}], 'weekday_text': ['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']}",ChIJX9HV7vGipBIRwO6N_1rpIwQ,4.1,"['spa', 'health', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=298338577380404928,259.0,http://www.saunabruc.com/,,,41.3900312,2.1704503
Ciutat Vella,art_gallery,CLOSED_TEMPORARILY,934 87 41 99,+34 934 87 41 99,GALERIA FIDEL BALAGUER,,ChIJ6XonFI2ipBIRAi30Fj_bHdE,,"['art_gallery', 'point_of_interest', 'establishment']",https://maps.google.com/?cid=15068440992266071298,,,True,,41.3893872,2.1632404
Ciutat Vella,liquor_store,OPERATIONAL,934 87 40 02,+34 934 87 40 02,Món Vínic,"{'open_now': True, 'periods': [{'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1200'}}], 'weekday_text': ['Monday: Closed', 'Tuesday: 12:00\u2009–\u20099:00\u202fPM', 'Wednesday: 12:00\u2009–\u20099:00\u202fPM', 'Thursday: 12:00\u2009–\u20099:00\u202fPM', 'Friday: 12:00\u2009–\u20099:00\u202fPM', 'Saturday: 12:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']}",ChIJ9WWAz_KipBIRO8Itkkm77R4,4.5,"['liquor_store', 'grocery_or_supermarket', 'store', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",https://maps.google.com/?cid=2228643315277742651,394.0,https://monvinicstore.com/,,,41.38904829999999,2.165095599999999
